nhom_lon,nhanh_nho,so_cv,so_jd_tag,tong
Kinh doanh / Ban hang,Kinh doanh tong hop,135,2548,2683
Kinh doanh / Ban hang,Ban hang,58,379,437
Kinh doanh / Ban hang,Sale/Dai dien kinh doanh,0,93,93
Kinh doanh / Ban hang,Ban le - Ban si,0,55,55
Kinh doanh / Ban hang,Thu ngan,3,39,42
Kinh doanh / Ban hang,Telesale,0,4,4
Marketing / Truyen thong / Quang cao,Truyen thong / PR,3,875,878
Marketing / Truyen thong / Quang cao,Bien - Phien dich,87,106,193
Marketing / Truyen thong / Quang cao,Marketing tong hop,50,121,171
Marketing / Truyen thong / Quang cao,Bao chi - Truyen hinh,20,93,113
Marketing / Truyen thong / Quang cao,SEO/Digital,0,67,67
Marketing / Truyen thong / Quang cao,To chuc su kien,3,34,37
Marketing / Truyen thong / Quang cao,Quang cao,0,13,13
Marketing / Truyen thong / Quang cao,Content,0,1,1
Cong nghe thong tin,Phat trien phan mem,47,1140,1187
Cong nghe thong tin,Phan cung / Mang,22,130,152
Cong nghe thong tin,QA/Tester,0,4,4
Cong nghe thong tin,Data/AI,0,2,2
Ke toan / Tai chinh / Ngan hang / Bao hiem,Kiem toan,124,628,752
Ke toan / Tai chinh / Ngan hang / Bao hiem,Bao hiem,14,361,375
Ke toan / Tai chinh / Ngan hang / Bao hiem,Ngan hang,0,300,300
Ke toan / Tai chinh / Ngan hang / Bao hiem,Ke toan,0,171,171
Ke toan / Tai chinh / Ngan hang / Bao hiem,Tai chinh / Dau tu,5,157,162
Ke toan / Tai chinh / Ngan hang / Bao hiem,Chung khoan / Dau tu,13,34,47
Nhan su / Hanh chinh / Phap ly,Hanh chinh van phong,240,534,774
Nhan su / Hanh chinh / Phap ly,Tuyen dung / C&B,28,319,347
Nhan su / Hanh chinh / Phap ly,Thu ky / Tro ly,7,134,141
Nhan su / Hanh chinh / Phap ly,Phap ly / Phap che,12,80,92
Dich vu khach hang,CSKH,99,596,695
Dich vu khach hang,CSKH qua dien thoai,0,50,50
Thiet ke / Kien truc / Noi that / My thuat,Thiet ke do hoa,0,216,216
Thiet ke / Kien truc / Noi that / My thuat,Kien truc,15,56,71
Thiet ke / Kien truc / Noi that / My thuat,My thuat / Nghe thuat,22,35,57
Thiet ke / Kien truc / Noi that / My thuat,Thiet ke noi that,0,56,56
Khach san / Nha hang / Du lich / Spa - Lam dep,Khach san,29,208,237
Khach san / Nha hang / Du lich / Spa - Lam dep,Du lich / Le hanh,17,103,120
Khach san / Nha hang / Du lich / Spa - Lam dep,Spa / Lam dep,6,81,87
Khach san / Nha hang / Du lich / Spa - Lam dep,Nha hang / F&B,0,27,27
Khach san / Nha hang / Du lich / Spa - Lam dep,Bep / Am thuc,8,12,20
Khach san / Nha hang / Du lich / Spa - Lam dep,Le tan,9,9,18
Khach san / Nha hang / Du lich / Spa - Lam dep,Pha che / Bar,1,10,11
Y te / Duoc,Y te,55,199,254
Y te / Duoc,Duoc pham,0,31,31
Y te / Duoc,Trinh duoc vien,0,15,15
Y te / Duoc,Dieu duong,0,7,7
Xay dung,Ky su / Giam sat xay dung,32,208,240
Xay dung,Cau duong,6,17,23
Xay dung,Du toan / QS,0,2,2
Dien / Dien tu / Vien thong,Dien lanh,0,158,158
Dien / Dien tu / Vien thong,Vien thong,7,102,109
Dien / Dien tu / Vien thong,Dien cong nghiep,0,20,20
Bat dong san,Moi gioi / Tu van BDS,9,476,485
Co khi / Che tao / Tu dong hoa / O to,Tu dong hoa,0,145,145
Co khi / Che tao / Tu dong hoa / O to,Co khi che tao,73,49,122
Co khi / Che tao / Tu dong hoa / O to,O to,0,33,33
Van tai / Logistics / Xuat nhap khau,Logistics / Kho van,21,112,133
Van tai / Logistics / Xuat nhap khau,Giao nhan / Van chuyen,107,15,122
Van tai / Logistics / Xuat nhap khau,Xuat nhap khau,0,113,113
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,QA/QC,21,138,159
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,Thuc pham / Do uong (SX),21,116,137
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,Quan ly san xuat,14,90,104
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,Det may / Da giay,11,44,55
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,My pham / Trang suc,11,40,51
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,Nong - Lam - Ngu,2,41,43
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,Moi truong / Xu ly chat thai,4,32,36
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,Dau khi / Hoa chat,1,21,22
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,Hang khong / Hang hai,4,16,20
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,In an / Xuat ban,1,14,15
Giao duc / Dao tao,Giang day,57,461,518
Giao duc / Dao tao,Tro giang,0,15,15
Giao duc / Dao tao,Dao tao noi bo,0,3,3
Lao dong pho thong / Khac,Lai xe (khong uu tien train),1902,220,2122
Lao dong pho thong / Khac,Cong nhan,0,137,137
Lao dong pho thong / Khac,Tap vu / Giup viec,15,65,80
Lao dong pho thong / Khac,Bao ve,8,33,41
Lao dong pho thong / Khac,Lao dong pho thong khac,0,7,7
0,0,524,2262,2786
