cv_row_index,industry_group_slug,industry_branch_slug
0,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
1,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
2,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
3,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
4,,
5,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
6,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
7,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
8,,
9,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
10,san-xuat-qa-qc,san-xuat-thuc-pham
11,kinh-doanh-ban-hang,kinh-doanh-ban-hang-ban-hang
12,dich-vu-khach-hang,dich-vu-khach-hang-cskh
13,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
14,,
15,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
16,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
17,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
18,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
19,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
20,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
21,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
22,san-xuat-qa-qc,san-xuat-my-pham
23,,
24,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
25,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
26,dich-vu-khach-hang,dich-vu-khach-hang-cskh
27,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
28,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
29,,
30,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
31,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
32,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
33,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
34,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
35,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
36,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
37,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
38,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
39,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
40,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
41,y-te-duoc,y-te-duoc-y-te
42,,
43,marketing-truyen-thong,marketing-bien-phien-dich
44,thiet-ke-kien-truc,thiet-ke-my-thuat
45,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
46,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
47,giao-duc-dao-tao,giao-duc-giang-day
48,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
49,,
50,san-xuat-qa-qc,san-xuat-thuc-pham
51,marketing-truyen-thong,marketing-tong-hop
52,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
53,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
54,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
55,giao-duc-dao-tao,giao-duc-giang-day
56,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
57,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
58,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
59,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
60,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
61,giao-duc-dao-tao,giao-duc-giang-day
62,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
63,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
64,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
65,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
66,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
67,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
68,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
69,co-khi-che-tao,co-khi-che-tao-co-khi
70,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
71,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
72,,
73,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
74,khach-san-nha-hang-du-lich,khach-san-khach-san
75,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
76,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
77,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
78,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
79,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
80,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
81,y-te-duoc,y-te-duoc-y-te
82,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
83,van-tai-logistics,van-tai-giao-nhan
84,ke-toan-tai-chinh,ke-toan-tai-chinh-chung-khoan
85,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
86,cntt,cntt-phat-trien-phan-mem
87,y-te-duoc,y-te-duoc-y-te
88,,
89,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
90,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
91,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
92,,
93,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
94,thiet-ke-kien-truc,thiet-ke-my-thuat
95,lao-dong-pho-thong,lao-dong-pho-thong-lai-xe
96,y-te-duoc,y-te-duoc-y-te
97,,
98,giao-duc-dao-tao,giao-duc-giang-day
99,van-tai-logistics,van-tai-giao-nhan
