,CV,JD_tags
Kinh doanh / Ban hang,196,3118
Marketing / Truyen thong / Quang cao,163,1310
Cong nghe thong tin,69,1276
Ke toan / Tai chinh / Ngan hang / Bao hiem,156,1651
Nhan su / Hanh chinh / Phap ly,287,1067
Dich vu khach hang,99,646
Thiet ke / Kien truc / Noi that / My thuat,37,363
Khach san / Nha hang / Du lich / Spa - Lam dep,70,450
Y te / Duoc,55,252
Xay dung,38,227
Dien / Dien tu / Vien thong,7,280
Bat dong san,9,476
Co khi / Che tao / Tu dong hoa / O to,73,227
Van tai / Logistics / Xuat nhap khau,128,240
San xuat / Chat luong (QA-QC) / Cong nghiep chuyen nganh,90,552
Giao duc / Dao tao,57,479
Lao dong pho thong / Khac,1925,462
,524,2262
