jd_row_index,industry_group_slug,industry_branch_slug
0,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
1,cntt,cntt-phat-trien-phan-mem
2,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
3,khach-san-nha-hang-du-lich,khach-san-khach-san
4,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
5,thiet-ke-kien-truc,thiet-ke-do-hoa
6,,
7,marketing-truyen-thong,marketing-truyen-thong-pr
8,cntt,cntt-phat-trien-phan-mem
9,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
10,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
11,dich-vu-khach-hang,dich-vu-khach-hang-cskh
12,marketing-truyen-thong,marketing-truyen-thong-pr
13,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
14,marketing-truyen-thong,marketing-truyen-thong-pr
15,san-xuat-qa-qc,san-xuat-qa-qc-qa-qc
16,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
17,bat-dong-san,bat-dong-san-moi-gioi
18,dich-vu-khach-hang,dich-vu-khach-hang-cskh
19,marketing-truyen-thong,marketing-truyen-thong-pr
20,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
21,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
22,ke-toan-tai-chinh,ke-toan-tai-chinh-ngan-hang
23,giao-duc-dao-tao,giao-duc-giang-day
24,cntt,cntt-phat-trien-phan-mem
25,dien-dien-tu-vien-thong,dien-dien-tu-vien-thong-vt
26,khach-san-nha-hang-du-lich,khach-san-khach-san
27,,
28,cntt,cntt-phat-trien-phan-mem
29,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
30,giao-duc-dao-tao,giao-duc-giang-day
31,marketing-truyen-thong,marketing-truyen-thong-pr
32,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
33,khach-san-nha-hang-du-lich,khach-san-du-lich-le-hanh
34,cntt,cntt-phat-trien-phan-mem
35,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
36,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
37,khach-san-nha-hang-du-lich,khach-san-spa-lam-dep
38,giao-duc-dao-tao,giao-duc-giang-day
39,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
40,nhan-su-hanh-chinh,nhan-su-hanh-chinh-van-phong
41,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
42,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
43,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
44,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
45,van-tai-logistics,van-tai-logistics-kho-van
46,cntt,cntt-phat-trien-phan-mem
47,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
48,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
49,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
50,van-tai-logistics,van-tai-xuat-nhap-khau
51,san-xuat-qa-qc,san-xuat-det-may
52,ke-toan-tai-chinh,ke-toan-tai-chinh-kiem-toan
53,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
54,nhan-su-hanh-chinh,nhan-su-tuyen-dung-cb
55,cntt,cntt-phat-trien-phan-mem
56,kinh-doanh-ban-hang,kinh-doanh-ban-hang-tong-hop
57,bat-dong-san,bat-dong-san-moi-gioi
58,,
59,ke-toan-tai-chinh,ke-toan-tai-chinh-bao-hiem
60,dien-dien-tu-vien-thong,dien-dien-tu-dien-lanh
61,van-tai-logistics,van-tai-logistics-kho-van
62,thiet-ke-kien-truc,thiet-ke-do-hoa
